Device Brand,AVA Type,Device Model,MPPT,INPUT,Forwarding Modbus ID,Data Label,Address,Size,Modbus Type,Divider,Register Type
Sungrow,String,SG125CX-P54,7,14,6,Udc,5120,1,U16,10,input
Sungrow,String,SG125CX-P55,8,15,6,Idc,7026,1,U16,100,input
Sungrow,String,SG125CX-P56,8,15,6,Udc,5122,1,U16,10,input
Sungrow,String,SG125CX-P57,8,16,6,Idc,7027,1,U16,100,input
Sungrow,String,SG125CX-P58,8,16,6,Udc,5122,1,U16,10,input
Sungrow,String,SG125CX-P59,9,17,6,Idc,7028,1,U16,100,input
Sungrow,String,SG125CX-P60,9,17,6,Udc,5129,1,U16,10,input
Sungrow,String,SG125CX-P61,9,18,6,Idc,7029,1,U16,100,input
Sungrow,String,SG125CX-P62,9,18,6,Udc,5129,1,U16,10,input
Sungrow,String,SG125CX-P63,10,19,6,Idc,7030,1,U16,100,input
Sungrow,String,SG125CX-P64,10,19,6,Udc,5131,1,U16,10,input
Sungrow,String,SG125CX-P65,10,20,6,Idc,7031,1,U16,100,input
Sungrow,String,SG125CX-P66,10,20,6,Udc,5131,1,U16,10,input
Sungrow,String,SG125CX-P67,11,21,6,Idc,7032,1,U16,100,input
Sungrow,String,SG125CX-P68,11,21,6,Udc,5133,1,U16,10,input
Sungrow,String,SG125CX-P69,11,22,6,Idc,7033,1,U16,100,input
Sungrow,String,SG125CX-P70,11,22,6,Udc,5133,1,U16,10,input
Sungrow,String,SG125CX-P71,12,23,6,Idc,7034,1,U16,100,input
Sungrow,String,SG125CX-P72,12,23,6,Udc,5135,1,U16,10,input
Sungrow,String,SG125CX-P73,12,24,6,Idc,7035,1,U16,100,input
Sungrow,String,SG125CX-P74,12,24,6,Udc,5135,1,U16,10,input
